text,sentiment
Love,Positive
Joy,Positive
Happiness,Positive
Kindness,Positive
Gratitude,Positive
Hope,Positive
Confidence,Positive
Success,Positive
Courage,Positive
Empathy,Positive
Abundance,Positive
Appreciation,Positive
Bliss,Positive
Enthusiasm,Positive
Serenity,Positive
Optimism,Positive
Laughter,Positive
Harmony,Positive
Inspiration,Positive
Blessings,Positive
Generosity,Positive
Trust,Positive
Understanding,Positive
Warmth,Positive
Caring,Positive
Freedom,Positive
Progress,Positive
Creativity,Positive
Friendship,Positive
Excitement,Positive
Perseverance,Positive
Honesty,Positive
Integrity,Positive
Respect,Positive
Compassion,Positive
Humility,Positive
Patience,Positive
Playfulness,Positive
Self-improvement,Positive
Balance,Positive
Diversity,Positive
Flexibility,Positive
Openness,Positive
Self-care,Positive
Forgiveness,Positive
Acceptance,Positive
Authenticity,Positive
Growth,Positive
Graciousness,Positive
Positivity,Positive
Radiance,Positive
Splendor,Positive
Excellence,Positive
Zeal,Positive
Vitality,Positive
Grace,Positive
Peacefulness,Positive
Tranquility,Positive
Appreciativeness,Positive
Wonder,Positive
Gracious,Positive
Innovative,Positive
Relaxed,Positive
Resourceful,Positive
Refreshing,Positive
Sympathetic,Positive
Tolerant,Positive
Adventurous,Positive
Affectionate,Positive
Ambitious,Positive
Authentic,Positive
Blessed,Positive
Brilliant,Positive
Cheerful,Positive
Confident,Positive
Considerate,Positive
Cooperative,Positive
Creative,Positive
Daring,Positive
Decisive,Positive
Delightful,Positive
Eager,Positive
Energetic,Positive
Enthusiastic,Positive
Exciting,Positive
Experienced,Positive
Faithful,Positive
Fantastic,Positive
Fearless,Positive
Flourishing,Positive
Forgiving,Positive
Friendly,Positive
Fun,Positive
Genuine,Positive
Happy-go-lucky,Positive
Helpful,Positive
Honest,Positive
Imaginative,Positive
Independent,Positive
Industrious,Positive
Hate,Negative
Sadness,Negative
Anger,Negative
Jealousy,Negative
Envy,Negative
Frustration,Negative
Disappointment,Negative
Anxiety,Negative
Fear,Negative
Insecurity,Negative
Doubt,Negative
Guilt,Negative
Shame,Negative
Resentment,Negative
Bitterness,Negative
Sarcasm,Negative
Criticism,Negative
Negativity,Negative
Pessimism,Negative
Hostility,Negative
Malice,Negative
Arrogance,Negative
Pride,Negative
Greed,Negative
Apathy,Negative
Ignorance,Negative
Prejudice,Negative
Racism,Negative
Sexism,Negative
Discrimination,Negative
Stereotyping,Negative
Insensitivity,Negative
Selfishness,Negative
Betrayal,Negative
Deception,Negative
Manipulation,Negative
Contempt,Negative
Disrespect,Negative
Intolerance,Negative
Narrow-mindedness,Negative
Condescension,Negative
Stubbornness,Negative
Closed-mindedness,Negative
Inflexibility,Negative
Rigidity,Negative
Impatience,Negative
Hostility,Negative
Blame,Negative
Avoidance,Negative
Neglect,Negative
Inadequacy,Negative
Embarrassment,Negative
Regret,Negative
Grief,Negative
Despair,Negative
Loneliness,Negative
Rejection,Negative
Betrayal,Negative
Heartbreak,Negative
Defeat,Negative
Misery,Negative
Disgust,Negative
Distress,Negative
Anguish,Negative
Agony,Negative
Discontent,Negative
Alienation,Negative
Helplessness,Negative
Hopelessness,Negative
Insecurity,Negative
Inferiority,Negative
Insanity,Negative
Insulting,Negative
Irritation,Negative
Lethargic,Negative
Loneliness,Negative
Miserable,Negative
Moody,Negative
Nervousness,Negative
Oppression,Negative
Panic,Negative
Perplexed,Negative
Pessimism,Negative
Rejected,Negative
Repulsion,Negative
Scornful,Negative
Seclusion,Negative
Self-centered,Negative
Selfish,Negative
Shameful,Negative
Stuck,Negative
Suspicion,Negative
Tense,Negative
Tired,Negative
Tormented,Negative
Trapped,Negative
Uncertainty,Negative
Unhappy,Negative
Unwanted,Negative
Useless,Negative